tokens,objects,attributes,relations,relations_per_object,attributes_per_object,noun_chunks,noun_chunks_per_prompt,adjectives_per_noun_chunk,prep_phrases,conjunctions,dependency_depth,atoms_per_20_tokens,objects_per_20_tokens,attributes_per_20_tokens,relations_per_20_tokens,dataset,prompt_index,prompt
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,16,A candle is positioned underneath a cow.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,17,The wallet lies near a horse.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,18,A woman is situated on top of a wallet.
5,2,0,1,0.5,0.0,2,2,0.0,1,0,4,12.0,8.0,0.0,4.0,TIIF-Bench,19,A vase beneath a cat.
8,2,0,2,1.0,0.0,2,2,0.0,1,0,5,10.0,5.0,0.0,5.0,TIIF-Bench,20,A bird is situated next to a microwave.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,21,A television is positioned to the left of a chicken.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,22,A bird positioned beneath a computer.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,23,A person stands beside a cow.
9,3,0,2,0.6666666666666666,0.0,3,3,0.0,2,0,6,11.11111111111111,6.666666666666666,0.0,4.444444444444445,TIIF-Bench,24,To the left of the couch is a chicken.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,25,A girl sits beneath a candle.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,6,15.0,7.5,0.0,7.5,TIIF-Bench,26,A table sits on top of a pig.
9,4,0,2,0.5,0.0,3,3,0.0,2,0,6,13.333333333333332,8.88888888888889,0.0,4.444444444444445,TIIF-Bench,27,A dog at the bottom of a phone screen.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,28,A woman sits atop a desk.
11,3,1,3,1.0,0.3333333333333333,3,3,0.3333333333333333,2,0,6,12.727272727272727,5.454545454545454,1.8181818181818183,5.454545454545454,TIIF-Bench,29,A wallet is positioned on the right side of a bee.
5,2,0,1,0.5,0.0,2,2,0.0,1,0,4,12.0,8.0,0.0,4.0,TIIF-Bench,30,A boy beneath a pig.
9,3,0,2,0.6666666666666666,0.0,3,3,0.0,2,0,6,11.11111111111111,6.666666666666666,0.0,4.444444444444445,TIIF-Bench,31,To the left of the boy is a bee.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,32,An airplane is positioned to the left of a turtle.
6,2,0,1,0.5,0.0,2,2,0.0,1,0,4,10.0,6.666666666666666,0.0,3.333333333333333,TIIF-Bench,33,A mouse is beside the bag.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,34,A boy stands to the right of the chair.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,35,A cat is positioned to the right of a sofa.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,36,A wallet is positioned to the right of the man.
6,2,0,1,0.5,0.0,2,2,0.0,1,0,4,10.0,6.666666666666666,0.0,3.333333333333333,TIIF-Bench,37,The woman is beside the computer.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,38,A woman stands near an airplane.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,39,A bird is positioned to the left of a bag.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,7,12.0,6.0,0.0,6.0,TIIF-Bench,40,There is a bee to the left of the boy.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,41,A painting is displayed on the top of a cow.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,42,A wallet is positioned to the left of the dog.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,7,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,43,A frog positioned to the left of a phone.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,44,A woman is depicted at the bottom of a bag.
11,3,0,4,1.3333333333333333,0.0,3,3,0.0,2,0,8,12.727272727272727,5.454545454545454,0.0,7.272727272727273,TIIF-Bench,45,There is a plate positioned to the right of a sheep.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,46,The woman stands near the balloon.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,7,12.0,6.0,0.0,6.0,TIIF-Bench,47,A frog is positioned to the right of a bag.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,48,A mouse sits beside the couch.
6,2,0,1,0.5,0.0,2,2,0.0,1,0,4,10.0,6.666666666666666,0.0,3.333333333333333,TIIF-Bench,49,A cat is beneath the desk.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,50,A butterfly is located to the right of a clock.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,51,A phone is positioned atop the chicken.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,52,A man stands beside an airplane.
9,3,0,3,1.0,0.0,4,4,0.0,3,0,7,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,53,A boy with a cow on top of him.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,6,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,54,A mouse positioned next to a bicycle.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,7,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,55,A man positioned to the right of the key.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,7,12.0,6.0,0.0,6.0,TIIF-Bench,56,A giraffe is positioned to the left of a backpack.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,57,A table is positioned beneath a woman.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,58,A man is positioned to the right of a lamp.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,59,A fish is positioned on the side of a car.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,60,A person stands beside a cup.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,61,A frog sits near a phone.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,62,A girl stands beside a cow.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,63,A cat lies beside a plate.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,7,12.0,6.0,0.0,6.0,TIIF-Bench,64,A book is positioned to the right of the boy.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,65,A horse stands near a lamp.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,66,"To the right of a giraffe, a table is positioned."
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,67,A mouse is positioned at the bottom of the painting.
9,3,0,2,0.6666666666666666,0.0,3,3,0.0,2,0,6,11.11111111111111,6.666666666666666,0.0,4.444444444444445,TIIF-Bench,68,To the right of the dog is a wallet.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,69,A man standing atop a candle.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,70,A mouse is positioned to the left of the wallet.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,71,A horse is positioned to the right of the couch.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,7,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,72,A man standing to the left of a car.
8,2,0,2,1.0,0.0,2,2,0.0,1,0,5,10.0,5.0,0.0,5.0,TIIF-Bench,73,A fish is positioned close to a television.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,74,A suitcase sits atop the frog.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,7,15.0,7.5,0.0,7.5,TIIF-Bench,75,An airplane positioned in front of a giraffe.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,76,A balloon sits behind the desk.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,6,15.0,7.5,0.0,7.5,TIIF-Bench,77,A girl stands in front of the desk.
8,2,0,3,1.5,0.0,2,2,0.0,1,0,6,12.5,5.0,0.0,7.5,TIIF-Bench,78,There is a cup positioned behind the woman.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,79,A table is situated in front of a painting.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,6,15.0,7.5,0.0,7.5,TIIF-Bench,80,A refrigerator stands in front of a plate.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,81,The cup is placed in front of a desk.
8,2,0,3,1.5,0.0,3,3,0.0,2,0,5,12.5,5.0,0.0,7.5,TIIF-Bench,82,A girl stands with a key behind her.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,83,A vase is positioned in front of a microwave.
8,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,12.5,7.5,0.0,5.0,TIIF-Bench,84,A butterfly obscures the view of a bee.
9,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,11.11111111111111,6.666666666666666,0.0,4.444444444444445,TIIF-Bench,85,A frog is blocking the view of a giraffe.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,86,A backpack is positioned behind a bee.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,5,15.0,7.5,0.0,7.5,TIIF-Bench,87,A bag obscured from view behind a vase.
7,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,4,14.285714285714286,8.571428571428571,0.0,5.7142857142857135,TIIF-Bench,88,A cat concealing a phone from view.
7,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,4,14.285714285714286,8.571428571428571,0.0,5.7142857142857135,TIIF-Bench,89,A bird conceals a mouse from view.
8,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,12.5,7.5,0.0,5.0,TIIF-Bench,90,A fish obscures the view of the refrigerator.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,91,A bicycle is positioned behind a plate.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,92,A dog concealed behind a microwave.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,93,The bicycle is positioned behind the plate.
7,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,4,14.285714285714286,8.571428571428571,0.0,5.7142857142857135,TIIF-Bench,94,A backpack conceals a rabbit from view.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,7,15.0,7.5,0.0,7.5,TIIF-Bench,95,A woman standing in front of a book.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,7,15.0,7.5,0.0,7.5,TIIF-Bench,96,A book situated in front of a candle.
5,2,0,1,0.5,0.0,2,2,0.0,1,0,4,12.0,8.0,0.0,4.0,TIIF-Bench,97,A butterfly behind a vase.
8,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,12.5,7.5,0.0,5.0,TIIF-Bench,98,A train obscures the view of a bird.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,99,A candle positioned behind the television.
6,2,0,2,1.0,0.0,1,1,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,100,A butterfly fluttering behind the plate.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,101,"In front of the backpack, there is a turtle."
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,102,A girl stands behind a balloon.
8,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,12.5,7.5,0.0,5.0,TIIF-Bench,103,A cow obscures the view of a sofa.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,6,15.0,7.5,0.0,7.5,TIIF-Bench,104,A candle stands in front of a bag.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,105,The pig is positioned behind the rabbit.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,106,A suitcase positioned behind a plate.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,107,A sheep concealed behind a refrigerator.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,108,The painting is concealed behind a clock.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,109,A giraffe stands before a wallet.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,5,15.0,7.5,0.0,7.5,TIIF-Bench,110,A girl obscured from view by a bird.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,111,A person obscured by a phone.
7,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,4,14.285714285714286,8.571428571428571,0.0,5.7142857142857135,TIIF-Bench,112,A bag conceals the refrigerator from view.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,6,15.0,7.5,0.0,7.5,TIIF-Bench,113,A clock stands in front of a chicken.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,114,A bee obscured beneath a bowl.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,115,A man obscured by a backpack.
7,2,0,3,1.5,0.0,2,2,0.0,1,0,5,14.285714285714286,5.7142857142857135,0.0,8.571428571428571,TIIF-Bench,116,The boy stands hidden behind the suitcase.
8,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,12.5,7.5,0.0,5.0,TIIF-Bench,117,A clock obscures the view of a lamp.
8,2,0,3,1.5,0.0,2,2,0.0,1,0,6,12.5,5.0,0.0,7.5,TIIF-Bench,118,There is a computer located behind the desk.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,119,The bee is positioned in front of the mouse.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,7,15.0,7.5,0.0,7.5,TIIF-Bench,120,A computer positioned in front of a microwave.
9,4,0,2,0.5,0.0,3,3,0.0,2,0,6,13.333333333333332,8.88888888888889,0.0,4.444444444444445,TIIF-Bench,121,A balloon floats in the background behind the boy.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,5,15.0,7.5,0.0,7.5,TIIF-Bench,122,A lamp obscured from view by the chair.
11,3,2,2,0.6666666666666666,0.6666666666666666,3,3,0.6666666666666666,0,1,5,12.727272727272727,5.454545454545454,3.6363636363636367,3.6363636363636367,TIIF-Bench,123,A bicycle positioned before a vase creates a layered visual scene.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,124,A refrigerator sits behind the book.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,125,The computer is positioned behind the refrigerator.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,4,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,126,The girl stands behind the sheep.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,127,The candle is positioned behind the table.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,128,A wallet concealed by a man.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,6,15.0,7.5,0.0,7.5,TIIF-Bench,129,A chicken stands in front of a vase.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,130,A painting is positioned in front of the desk.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,131,A desk is positioned in front of the dog.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,132,A couch positioned behind a backpack.
8,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,12.5,7.5,0.0,5.0,TIIF-Bench,133,An airplane obscures the view of a vase.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,7,15.0,7.5,0.0,7.5,TIIF-Bench,134,A painting positioned in front of a frog.
8,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,5,12.5,7.5,0.0,5.0,TIIF-Bench,135,A plate obscures the view of a boy.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,136,A turtle stands directly in front of a train.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,137,A phone is positioned behind the man.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,138,The bird is positioned behind the train.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,6,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,139,The horse is positioned in front of the pig.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,140,A lamp positioned behind the chair.
7,3,0,2,0.6666666666666666,0.0,3,3,0.0,1,0,3,14.285714285714286,8.571428571428571,0.0,5.7142857142857135,TIIF-Bench,141,A person obscures a couch from view.
11,3,0,5,1.6666666666666667,0.0,4,4,0.0,3,0,8,14.545454545454547,5.454545454545454,0.0,9.09090909090909,TIIF-Bench,142,A person stands with a balloon positioned in front of them.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,143,A table positioned behind a candle.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,144,A table is positioned behind the horse.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,145,The chair is positioned behind the horse.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,5,15.0,7.5,0.0,7.5,TIIF-Bench,146,A bird obscured from view by a bicycle.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,5,15.0,7.5,0.0,7.5,TIIF-Bench,147,A desk obscured from view by a mouse.
7,2,0,3,1.5,0.0,2,2,0.0,1,0,5,14.285714285714286,5.7142857142857135,0.0,8.571428571428571,TIIF-Bench,148,A bag sits positioned behind a backpack.
8,3,0,3,1.0,0.0,3,3,0.0,2,0,7,15.0,7.5,0.0,7.5,TIIF-Bench,149,A wallet positioned in front of a book.
14,5,0,5,1.0,0.0,4,4,0.0,3,0,8,14.285714285714286,7.142857142857143,0.0,7.142857142857143,TIIF-Bench,150,"A child blows bubbles, with a toy box on the bottom of the frame."
10,3,0,3,1.0,0.0,3,3,0.0,1,0,5,12.0,6.0,0.0,6.0,TIIF-Bench,151,An artist holding a palette stands next to a canvas.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,7,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,152,A mouse gliding across the top of a desk.
12,4,1,4,1.0,0.25,4,4,0.25,3,0,7,15.0,6.666666666666666,1.6666666666666665,6.666666666666666,TIIF-Bench,153,Mushrooms growing in a forest on the left of a fallen tree.
13,5,0,4,0.8,0.0,4,4,0.0,3,0,6,13.846153846153847,7.6923076923076925,0.0,6.153846153846154,TIIF-Bench,154,"A girl engaging in a snowball fight, with a snowman on the right."
15,4,0,5,1.25,0.0,6,6,0.0,3,0,9,12.0,5.333333333333333,0.0,6.666666666666666,TIIF-Bench,155,"A cat sits under a table, which has a tablecloth on the bottom of it."
9,3,0,3,1.0,0.0,3,3,0.0,2,0,7,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,156,A cat sleeping on the side of the bed.
9,4,0,3,0.75,0.0,3,3,0.0,2,0,7,15.555555555555555,8.88888888888889,0.0,6.666666666666666,TIIF-Bench,157,A cat napping on top of a window sill.
10,3,1,3,1.0,0.3333333333333333,3,3,0.3333333333333333,1,0,4,14.0,6.0,2.0,6.0,TIIF-Bench,158,"Near a pet shop, there are no hamsters running wheels."
12,3,0,5,1.6666666666666667,0.0,4,4,0.0,3,0,6,13.333333333333332,5.0,0.0,8.333333333333334,TIIF-Bench,159,"A boy standing on the beach, with a dog left of him."
12,4,0,3,0.75,0.0,5,5,0.0,2,0,5,11.666666666666668,6.666666666666666,0.0,5.0,TIIF-Bench,160,A man tastes soup; a bowl is to the right of him.
13,4,0,5,1.25,0.0,4,4,0.0,3,0,7,13.846153846153847,6.153846153846154,0.0,7.6923076923076925,TIIF-Bench,161,A pig sitting astride a motorcycle on the right of a parked car.
14,5,0,4,0.8,0.0,5,5,0.0,3,0,9,12.857142857142858,7.142857142857143,0.0,5.7142857142857135,TIIF-Bench,162,A windmill overlooking a field with a farmhouse on the bottom of the scene.
12,4,0,4,1.0,0.0,4,4,0.0,3,0,7,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,163,A pilot stepping into a plane on the side of the runway.
12,4,0,3,0.75,0.0,4,4,0.0,2,0,6,11.666666666666668,6.666666666666666,0.0,5.0,TIIF-Bench,164,A woman is not browsing books on the side of the shelf.
12,5,0,4,0.8,0.0,4,4,0.0,2,0,8,15.0,8.333333333333334,0.0,6.666666666666666,TIIF-Bench,165,"A pencil resting on a notebook, positioned left of a coffee cup."
13,5,0,4,0.8,0.0,4,4,0.0,2,0,7,13.846153846153847,7.6923076923076925,0.0,6.153846153846154,TIIF-Bench,166,"A nurse comforting a patient, seated to the right of a bedside table."
12,4,0,4,1.0,0.0,3,3,0.0,2,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,167,"A king piece stands next to a rook, left of the queen."
12,4,1,3,0.75,0.25,4,4,0.25,2,0,8,13.333333333333332,6.666666666666666,1.6666666666666665,5.0,TIIF-Bench,168,A florist arranging a bouquet next to a display of vibrant flowers.
